Words,Emotion
aghast,Fear
agog,Surprise
agonized,Sad
alarmed,Fear
amused,Happy
angry,Angry
anguished,Sad
animated,Happy
annoyed,Angry
anxious,Surprise
appalled,Angry
appeased,Happy
appreciated,Happy
approved of,Happy
ardent,Fear
aroused,Fear
attached,Happy
attracted,Surprise
awed,Fear
awkward,Sad
beaten down,Sad
beatific,Happy
belonging,Happy
bereaved,Sad
betrayed,Angry
bewildered,Surprise
bitter,Angry
blissful,Happy
blithe,Happy
blocked,Sad
blue,Sad
boiling,Angry
bold,Fear
bored,Sad
brave,Fear
bright,Happy
brisk,Happy
calm,Happy
capable,Fear
captivated,Happy
careless,Sad
categorized,Happy
cautious,Fear
certain,Fear
chagrined,Sad
challenged,Surprise
chastised,Sad
cheated,Angry
cheerful,Happy
cheerless,Sad
cheery,Happy
cherished,Happy
chicken,Fear
cocky,Happy
codependent,Happy
coerced,Angry
comfortable,Happy
common,Fear
competent,Fear
complacent,Sad
composed,Fear
concerned,Surprise
confident,Fear
confused,Surprise
connected,Happy
conned,Angry
consumed,Fear
contented,Happy
controlled,Sad
convivial,Happy
cornered,Happy
courageous,Fear
cowardly,Fear
craving,Surprise
crestfallen,Sad
criticized,Sad
cross,Angry
cross-examined,Happy
crushed,Sad
curious,Surprise
cut off,Sad
daring,Fear
dark,Sad
dedicated,Surprise
defeated,Sad
defenseless,Fear
degraded,Sad
dejected,Sad
depressed,Sad
deserted,Sad
desirable,Happy
despondent,Sad
detached,Sad
determined,Happy
diminished,Sad
disappointed,Sad
discarded,Sad
disconsolate,Sad
discontented,Sad
discounted,Sad
discouraged,Sad
disgraced,Sad
disgusted,Angry
disillusioned,Sad
disjointed,Fear
dismal,Sad
dismayed,Fear
disoriented,Fear
disparaged,Angry
displeased,Sad
disrespected,Sad
distressed,Sad
distrustful,Surprise
dolorous,Sad
doubtful,Fear
down,Sad
downhearted,Sad
dreadful,Sad
dreary,Sad
dubious,Surprise
dull,Sad
duped,Angry
eager,Surprise
earnest,Surprise
ecstatic,Happy
elated,Happy
embarrassed,Sad
empathetic,Happy
enchanted,Surprise
encouraged,Fear
engrossed,Surprise
enraged,Angry
enterprising,Fear
enthusiastic,Happy
entrusted,Happy
esteemed,Happy
excluded,Sad
exempt,Happy
exhausted hopeless,Sad
exhilarated,Happy
exploited,Angry
exposed,Fear
fabulous,Happy
fainthearted,Fear
fantastic,Happy
fascinated,Surprise
favored,Happy
fearful,Fear
fervent,Surprise
fervid,Surprise
festive,Happy
flat,Sad
focused,Happy
forced,Sad
forsaken,Sad
framed,Angry
free,Happy
free & easy,Happy
frightened,Fear
frisky,Happy
frustrated,Angry
full of anticipation,Surprise
full of ennui,Sad
fuming,Angry
funereal,Sad
furious,Angry
gallant,Fear
genial,Happy
glad,Happy
gleeful,Happy
gloomy,Sad
glum,Sad
grief-stricken,Sad
grieved,Sad
guilt,Sad
guilty,Happy
happy,Happy
hardy,Fear
heartbroken,Sad
heavyhearted,Sad
hesitant,Fear
high-spirited,Happy
hilarious,Happy
hopeful,Surprise
horny,Fear
horrified,Fear
hot and bothered,Fear
humiliated,Sad
humorous,Happy
hurt,Sad
hysterical,Fear
ignored,Sad
ill at ease,Sad
immobilized,Sad
immune,Happy
important,Happy
impotent,Sad
imprisoned,Happy
in a huff,Angry
in a stew,Angry
in control,Fear
in fear,Fear
in pain,Sad
in the dumps,Sad
in the zone,Happy
incensed,Angry
included,Happy
indecisive,Surprise
independent,Happy
indignant,Angry
infatuated,Fear
inflamed,Angry
injured,Sad
inquisitive,Surprise
insignificant,Sad
intent,Surprise
interested,Surprise
interrogated,Happy
intrigued,Surprise
irate,Angry
irresolute,Fear
irresponsible,Sad
irritated,Angry
isolated,Sad
jaunty,Happy
jocular,Happy
jolly,Happy
jovial,Happy
joyful,Happy
joyless,Sad
joyous,Happy
jubilant,Happy
keen,Surprise
labeled,Happy
lackadaisical,Sad
lazy,Sad
left out,Sad
let down,Sad
